Name,State,Status,Provisioned Space,Used Space,Host CPU,Host Mem,Guest Mem - %,Host,Guest OS,DNS Name,Notes
cfsbcklpora01,Powered On,Normal,206.12  GB,206.12  GB,317,6195,34,cfsbckoraesx02.adcfs.capita.co.uk,Microsoft Windows Server 2008 R2 (64-bit),cfsbcklpora01.adcfs.capita.co.uk,
cfsbckmitapp01,Powered On,Normal,85.11  GB,19.82  GB,506,5793,8,cfsbckitiesx03.adcfs.capita.co.uk,CentOS 4/5/6 (32-bit),cfsbckmitapp01,The Mitel Applications Suite
CFSBCKMSWAPP01,Powered On,Normal,44.8  GB,43.24  GB,253,4200,4,cfsbckitiesx06.adcfs.capita.co.uk,Microsoft Windows Server 2003 Standard (32-bit),cfsbckmswapp01.capitaregistrars.com,
CFSBCKNDSNOV01,Powered On,Normal,19.11  GB,10.09  GB,46,2434,0,cfsbckitiesx04.adcfs.capita.co.uk,Novell NetWare 6.x,,That is used by the helpdesk for managing NetWare account / Share Master
CFSBCKPSMDC01,Powered On,Normal,251.8  GB,200.01  GB,45,1116,13,cfsbckpsmesx02.adcfs.capita.co.uk,Microsoft Windows Server 2003 Standard (64-bit),cfsbckpsmdc01.prism.capita.co.uk,Prism DC 2003x64
CFSBCKPSMDC02,Powered On,Normal,31.11  GB,18.88  GB,68,1045,25,cfsbckpsmesx03.adcfs.capita.co.uk,Microsoft Windows Server 2003 Standard (64-bit),CFSBCKPSMDC02.prism.capita.co.uk,
CFSBCKPSMNOV01,Powered On,Normal,65.09  GB,59.91  GB,45,2005,0,cfsbckpsmesx01.adcfs.capita.co.uk,Novell NetWare 6.x,,
CFSBCKPSMNOV02,Powered On,Normal,215.09  GB,157.98  GB,45,3165,2,cfsbckpsmesx02.adcfs.capita.co.uk,Novell NetWare 6.x,,
CFSBCKPSMREU01,Powered On,Normal,37.11  GB,35.91  GB,22,2076,17,cfsbckpsmesx03.adcfs.capita.co.uk,Microsoft Windows Server 2008 (64-bit),cfsbckpsmreu01.adcfs.capita.co.uk,
cfsbckptlsop01,Powered On,Normal,53.62  GB,53.62  GB,943,2449,7,cfsbckitiesx03.adcfs.capita.co.uk,Microsoft Windows Server 2003 Standard (32-bit),cfsbckptlsop01.GSPLVE.CAPITA.CO.UK,
cfsbckptlsop02,Powered On,Warning,53.69  GB,53.69  GB,460,3580,8,cfsbckitiesx04.adcfs.capita.co.uk,Microsoft Windows Server 2003 Standard (32-bit),cfsbckptlsop02.GSPLVE.CAPITA.CO.UK,
cfsbckptlsvc01,Powered On,Normal,33.57  GB,33.57  GB,161,3581,6,cfsbckitiesx01.adcfs.capita.co.uk,Microsoft Windows Server 2003 Standard (32-bit),cfsbckptlsvc01.adcfs.capita.co.uk,
cfsbckptlsvc02,Powered On,Normal,33.55  GB,33.55  GB,184,3575,3,cfsbckitiesx04.adcfs.capita.co.uk,Microsoft Windows Server 2003 Standard (32-bit),cfsbckptlsvc02.adcfs.capita.co.uk,
cfsbckptlweb01,Powered On,Normal,33.57  GB,33.57  GB,23,3583,2,cfsbckitiesx05.adcfs.capita.co.uk,Microsoft Windows Server 2003 Standard (32-bit),cfsbckptlweb01.GSPLVE.CAPITA.CO.UK,
cfsbckptlweb02,Powered On,Normal,33.57  GB,33.57  GB,1518,3583,7,cfsbckitiesx04.adcfs.capita.co.uk,Microsoft Windows Server 2003 Standard (32-bit),cfsbckptlweb02.GSPLVE.CAPITA.CO.UK,
CFSBCKREGBLD01,Powered On,Normal,82.16  GB,82.16  GB,46,2088,15,cfsbckitiesx01.adcfs.capita.co.uk,Microsoft Windows Server 2008 R2 (64-bit),CFSBCKREGBLD01.adcfs.capita.co.uk,
CFSBCKRPDAPP01,Powered On,Normal,52.12  GB,52.12  GB,69,2080,10,cfsbckitiesx01.adcfs.capita.co.uk,Microsoft Windows 7 (64-bit),CFSBCKRPDAPP01.adcfs.capita.co.uk,
CFSBCKRPDAPP02,Powered Off,Normal,52.23  GB,50  GB,0,0,0,cfsbckitiesx07.adcfs.capita.co.uk,Microsoft Windows 7 (64-bit),,
CFSBCKRPTSQL01,Powered On,Normal,84.22  GB,84.22  GB,690,4144,12,cfsbckitiesx06.adcfs.capita.co.uk,Microsoft Windows Server 2003 Standard (64-bit),CFSBCKRPTSQL01.adcfs.capita.co.uk,
CFSBCKSAGAPP01,Powered On,Normal,47.11  GB,47.11  GB,69,2080,3,cfsbckitiesx03.adcfs.capita.co.uk,Microsoft Windows Server 2003 Standard (32-bit),CFSBCKSAGAPP01.adcfs.capita.co.uk,
CFSBCKSAGAPP02,Powered On,Normal,61.11  GB,61.11  GB,115,1048,17,cfsbckitiesx01.adcfs.capita.co.uk,Microsoft Windows Server 2003 Standard (32-bit),CFSBCKSAGAPP02.adcfs.capita.co.uk,
CFSBCKSAGWEB01,Powered On,Normal,51.11  GB,51.11  GB,23,1018,4,cfsbckitiesx04.adcfs.capita.co.uk,Microsoft Windows Server 2003 Standard (32-bit),CFSBCKSAGWEB01,
cfsbcksctapp01,Powered On,Normal,77.11  GB,66.52  GB,69,2044,4,cfsbckitiesx07.adcfs.capita.co.uk,Microsoft Windows Server 2003 Standard (32-bit),cfsbcksctapp01.adcfs.capita.co.uk,
cfsbcksctapp02,Powered On,Normal,132.11  GB,56.03  GB,1012,2064,11,cfsbckitiesx01.adcfs.capita.co.uk,Microsoft Windows Server 2003 Standard (64-bit),cfsbcksctapp02.adcfs.capita.co.uk,
cfsbcksctsql02,Powered On,Normal,284.11  GB,205.91  GB,667,4077,14,cfsbckitiesx04.adcfs.capita.co.uk,Microsoft Windows Server 2003 Standard (64-bit),cfsbcksctsql02.adcfs.capita.co.uk,
